age_diff,reach_diff,5f_win_diff,5f_finish_diff,5f_finished_diff,5f_opp_win_diff,strpm_diff,tdpm_diff,result
-2.5780822027617987,-1,1,1,1,-9,-2.262678062678063,0.05356125356125356,1
4.189041089815987,-2,1,0,0,-30,-2.3726042476042473,0.0383644133644134,1
9.46849314322045,-4,0,0,0,-24,0.9102213086641218,-0.3023620636617467,0
2.257534238850358,9,2,0,-1,-26,1.4164191750278707,0.0,1
1.4136986210419522,7,0,-1,0,14,-0.2262133120791594,0.0,1
-12.235616444565288,7,3,0,0,29,-1.0168834422181492,-0.07722007722007722,1
1.7479451993600712,8,0,-2,0,41,-4.975388860902796,0.0,1
-6.410958911042648,2,1,-1,-1,4,0.049348117460704444,0.0,0
-5.353424663892724,3,0,-2,0,-33,-0.4461345009543054,-0.020208824520040417,1
-1.893150691768458,5,0,1,2,-3,1.87198990166477,-0.03731833913208869,0
-1.2273972706786225,4,0,-2,0,-29,-0.6098445320928922,-0.032862272059993994,0
1.0438356082474414,-1,2,1,-1,10,1.301796242972713,0.03482791718085834,0
-11.789041102784246,-3,4,2,-1,-44,-0.037355199791748284,0.07028504490433424,1
-9.44931507606696,2,2,-1,-1,-11,-1.8184234502695635,-0.29236112538276576,1
-0.6794520593060014,-1,0,-1,0,22,-0.7691442172454828,0.022222222222222223,1
-3.942465760679191,-5,3,1,-2,-4,-0.13444909344490874,-0.08396094839609484,1
-5.830136991747722,-2,2,0,0,-5,-1.3406451612903227,0.03477726574500768,1
-5.235616443391169,1,1,2,-1,-2,1.3429452251491516,-0.030030030030030033,1
-9.652054810000667,0,3,1,1,9,1.2279105193517754,0.07439553626782393,1
-6.3616438419241845,-2,0,2,1,-7,1.0785151284007122,-0.042461225527587076,1
3.252054785135279,-1,-1,-1,0,-8,-1.991292332559898,0.18084486968914842,0
5.956164378154398,-5,0,-1,-1,-14,-1.5814263798779122,0.3854389721627409,1
-4.101369868922436,-1,0,0,0,2,-2.207125297537753,-0.17208413001912046,0
-0.789041106321605,-4,0,-1,1,-29,-0.0778722508002585,0.10752973812988956,0
-1.7506849385206067,-4,0,2,0,-29,-0.7665955525417236,0.05490173242649127,1
3.046575331287137,-3,-1,-2,1,-19,0.01483962604142297,0.12919896640826872,1
0.7917808133319326,-1,-2,-2,1,-24,-2.006974858069748,-0.06763990267639902,1
4.509589035059236,-5,0,-1,-1,-14,-3.1934050695902156,0.29571217348447515,0
5.0273972516718075,-3,-1,-1,0,27,-3.5694252180485604,0.10627478789628789,0
3.613698624928208,5,0,3,0,-11,2.7561025086212725,-0.34214618973561434,0
2.3589041031262354,-3,0,0,-1,-13,-7.314441030308963,0.20295983086680763,0
-2.8000000076302385,-3,2,1,-1,-18,-3.4944570135746607,0.15305429864253395,0
3.4794520504697743,1,-2,-1,0,-1,-1.3228195820076178,-0.04334258733221252,0
1.1123287610851094,0,-1,2,1,9,-3.15104611009547,0.09786715417428397,0
-6.361643841087584,5,1,-2,0,-7,3.909474006601858,0.1503567498894019,1
-7.830136995005965,3,2,-1,-2,-48,0.6191452991452997,0.13367521367521368,0
1.53424657030261,0,1,0,0,-17,-4.803904473426391,-0.2614487178334846,1
-0.23835616970779228,-2,3,3,-2,-35,1.556688264938805,-0.09520518358531317,1
-2.704109595307809,0,3,2,-2,-6,-1.9294389820705606,0.15037593984962405,1
-8.40821918537716,-1,3,2,-1,-29,1.2215050041154862,0.11656143759106363,1
-3.854794528117676,-1,2,-1,-1,-2,-0.47665198237885464,0.002803364036844211,1
-9.27671233462037,-3,1,-1,-1,-5,0.1917615943705262,-0.02631085559598862,0
-8.70410959504865,5,0,1,-3,-13,-1.6667703876572024,-0.054479450278750174,1
1.7780821861570857,5,0,2,-1,-10,-1.1922381416052303,0.006885519543747401,0
2.1041095823173563,0,1,1,-2,-8,0.3667992574913823,0.047414478918058875,0
2.2273972538250604,-1,1,-2,0,7,-0.7707244529424262,-0.06097301890800935,1
6.720547936106861,2,-1,-1,0,1,0.5729340533464251,0.08941253477335953,0
-1.7671232923138973,-5,0,2,-1,-7,-2.6895000221425085,0.04951950755059563,1
8.104109583354923,3,0,2,0,-19,-2.149911485993959,0.05623242736644799,0
2.4931506794852574,-5,-1,1,1,7,3.9353493222106364,-0.18769551616266944,0
1.0958904060337389,-1,0,0,0,-1,-1.3087394745857452,0.0037143217756621764,0
-2.145205487769278,-2,1,3,-1,-9,3.244219507777755,0.1296460266033445,0
-0.3479452133994769,0,1,1,-1,-10,-0.912207986267072,-0.04780731207279165,1
4.117808212458463,-10,1,-1,0,0,-4.516632271153242,-0.16390919584455566,0
-8.375342474167496,0,4,1,0,-18,0.37108066971080667,0.15251141552511416,0
5.342465749247047,-1,-1,-1,-1,13,-0.4373611838298106,-3.857918377470071e-05,0
1.323287662324141,-13,0,-2,-2,-6,0.34514428146869935,0.022222222222222223,0
-7.723287679179414,3,2,1,0,-9,2.569490959122595,0.08958136001651677,1
-4.775342471626107,-1,1,4,-1,-8,-2.218885339013135,-0.022222222222222223,0
-3.257534251323598,-3,1,1,0,4,-1.6057456696239965,-0.06320236586396281,1
-11.816438361801016,-1,2,1,-1,-4,-1.6909090909090914,0.05656565656565656,1
-3.731506854097958,0,0,0,-2,4,0.6722947451584069,0.026246719160104987,1
2.3123287605599963,-2,-1,1,0,6,3.4798383132767006,-0.18597442851607904,0
-4.101369871191835,1,2,1,-3,-23,0.6458616010854814,-0.08264462809917356,1
2.569863005855627,-4,-1,-2,0,14,-2.3710129601849355,0.0,0
