reach_diff,5f_win_diff,5f_loss_diff,5f_finish_diff,5f_finished_diff,5f_opp_win_diff,strpm_diff,tdpm_diff,result
1,0,0,0,-1,-14,4.027609997774064,-0.14057993854738254,0
0,0,0,1,0,-26,-2.6176672844516817,0.027127520105352382,0
-2,0,0,0,0,-14,-0.8284785000239154,-0.08469890467307598,1
2,-1,1,-1,2,11,2.895097438938013,0.0,0
-1,1,-1,1,1,-4,0.8950343358590618,-0.028851274143267623,0
-1,-1,1,0,-1,-23,1.2646216598250568,-0.07957479436049635,1
0,1,-1,2,1,-47,0.43888103096023867,0.0,1
0,-1,1,0,0,-6,-2.6801944096891015,-0.16538037486218302,1
4,-1,1,2,0,1,0.5589074189735679,-0.034158838599487616,0
6,2,-2,3,0,22,1.462444145201685,-0.19370460048426152,1
0,-1,1,1,0,34,-0.045297289435134225,-0.27282266526757604,1
-1,0,0,1,1,-11,-2.092009830007833,0.0778627506083962,0
-5,0,0,-1,0,-15,0.4070323488045009,-0.059915611814346,1
-2,-2,2,-1,1,-27,0.7626071669845444,-0.18537664428461414,0
-5,0,0,1,-1,5,-2.22196596643986,0.026009736728934117,0
5,0,0,0,0,-10,-1.7175293751748437,0.054570259208731244,1
6,0,0,-3,0,-16,-3.5598141695702665,-0.1580332946186605,0
7,1,-1,0,1,1,-2.168738229755179,-0.044444444444444446,0
0,-2,2,0,1,-11,0.16790123456790162,-0.18271604938271604,0
2,-2,2,-3,0,-2,0.8071616749861339,0.06944444444444445,0
1,1,-1,1,1,-29,0.8264556479449376,0.07470145178407675,1
-1,-1,1,-1,1,15,-0.5509057050956487,0.03300039501156821,0
-1,0,0,-1,0,22,1.8582014908639235,-0.1626207266369507,1
-5,-1,1,1,0,22,1.2848571801226032,0.09943915481935567,1
-2,-2,2,-2,1,11,0.7252232309414244,-0.05257555030468852,1
4,2,-2,1,0,-13,1.5258598473585088,0.013618792744573296,1
5,1,-1,2,0,-12,-0.6666666666666665,0.022222222222222227,0
4,2,-2,2,0,-19,-0.7099415204678361,0.09122807017543862,0
4,0,0,-1,1,-13,0.6678270247738909,0.11011522100328235,1
3,-1,1,0,1,2,-0.04846379692255631,0.15219950514007746,1
-2,0,0,-1,0,11,0.1300223095395352,-0.17348482312157026,0
3,1,-1,1,0,-22,-2.4978672079545783,0.11107328819799037,0
0,2,-2,1,0,-24,-0.382521521022527,0.13863301853891516,1
3,0,0,2,0,28,-2.494955640511064,0.11503500631112484,1
5,1,-1,1,2,5,-0.3766694754962767,0.35229413870796245,1
-5,-1,1,0,1,26,-2.607709750566894,0.23966192537621103,1
0,0,0,-2,1,36,-6.513920282264733,0.2727272727272727,0
4,3,-3,0,-1,-23,-4.450038864151759,0.0024173235287047144,1
-1,3,-3,1,-1,-8,-0.8174962047718406,0.0,1
2,2,-2,1,0,-22,-0.20623547469687153,-0.01729605073508216,0
1,-1,1,0,0,3,-0.3120727370377203,0.003792958784748543,0
1,1,-1,2,-1,-38,1.8604167440478405,0.07209449169854774,0
1,1,-1,3,0,-23,0.6185421089879686,0.16588818117480536,1
-2,-2,2,0,2,-13,-0.42364936130317554,0.1281300050783234,0
0,-1,1,2,2,5,-0.9623931623931625,0.16239316239316237,0
5,0,0,2,0,8,-1.170247771587011,0.2193841976281305,0
-1,1,-1,-2,1,-40,0.9654416074092151,0.14346717510273108,0
0,2,-2,-1,-1,-10,-0.7068592668980531,-0.32830284513740854,0
2,0,0,1,0,-23,-1.0213314014328265,0.0,1
0,1,-1,-1,0,-11,1.1776927820464804,0.0,1
-2,2,-2,0,1,-9,4.222222222222221,-0.022222222222222223,1
-8,0,0,2,0,-41,4.975388860902796,0.0,0
-2,0,0,2,1,4,3.2039219820769635,-0.2,0
3,2,-2,1,0,-42,0.7747364783134612,0.16440297217902194,1
4,1,-1,0,-1,-19,0.1428640360482083,0.02541042324723386,0
-4,0,0,-1,0,-13,0.7991182143841273,0.4376205566271699,1
0,0,0,0,1,-40,2.2804204122810985,0.49523045880953454,1
2,2,-2,1,-1,-22,-1.3957470241877408,0.3758207311390689,1
-2,3,-3,1,-2,-14,-0.10699300699300629,0.24965034965034963,1
-4,0,0,-1,0,11,1.137435897435898,0.07487179487179488,0
