elo_diff,age_diff,reach_diff,5f_win_diff,5f_finish_diff,5f_finished_diff,5f_opp_win_diff,strpm_diff,tdpm_diff,result
-38.817131909621594,-2.5780822025631025,-1,1,1,1,-9,-2.262678062678063,0.05356125356125356,1
9.499180144162892,4.189041083315949,-2,1,0,0,-30,-2.3726042476042473,0.0383644133644134,1
-31.978152210703,9.468493144458304,-4,0,0,0,-24,0.9102213086641218,-0.3023620636617467,0
-9.406696546837566,2.257534239504949,9,2,0,-1,-26,1.4164191750278707,0.0,1
-43.039998299466106,1.4136986224692691,7,0,-1,0,14,-0.2262133120791594,0.0,1
42.331171238811066,-12.235616444797245,7,3,0,0,29,-1.0168834422181492,-0.07722007722007722,1
57.351229501405214,1.7479451993048585,8,0,-2,0,41,-4.975388860902796,0.0,1
52.7206724870498,-6.410958911003462,2,1,-1,-1,4,0.049348117460704444,0.0,0
91.56634479766262,-5.353424664839487,3,0,-2,0,-33,-0.4461345009543054,-0.020208824520040417,1
-35.48749738915603,-1.8931506919444132,5,0,1,2,-3,1.87198990166477,-0.03731833913208869,0
-32.90092587630215,-1.2273972686887689,4,0,-2,0,-29,-0.6098445320928922,-0.032862272059993994,0
-25.831862390911056,1.0438356101901647,-1,2,1,-1,10,1.301796242972713,0.03482791718085834,0
46.144401177253485,-5.235616444454344,1,1,2,-1,-2,1.3429452251491516,-0.030030030030030033,1
99.3464227841921,-9.652054801533236,0,3,1,1,9,1.2279105193517754,0.07439553626782393,1
7.2628977168858455,-6.361643842336758,-2,0,2,1,-7,1.0785151284007122,-0.042461225527587076,1
41.89991256524581,3.2520547863605955,-1,-1,-1,0,-8,-1.991292332559898,0.18084486968914842,0
-6.121869039863213,5.956164377555517,-5,0,-1,-1,-14,-1.5814263798779122,0.3854389721627409,1
10.576943222217778,-4.101369869179948,-1,0,0,0,2,-2.207125297537753,-0.17208413001912046,0
-140.97123657187421,-0.7890411061314992,-4,0,-1,1,-29,-0.0778722508002585,0.10752973812988956,0
-5.94155763215872,3.6136986244818345,5,0,3,0,-11,2.7561025086212725,-0.34214618973561434,0
-1.9049505004995808,2.358904103974563,-3,0,0,-1,-13,-7.314441030308963,0.20295983086680763,0
5.993475774506578,-2.8000000080192393,-3,2,1,-1,-18,-3.4944570135746607,0.15305429864253395,0
-27.433347808695316,3.479452049178054,1,-2,-1,0,-1,-1.3228195820076178,-0.04334258733221252,0
-56.857077282358205,1.1123287618729307,0,-1,2,1,9,-3.15104611009547,0.09786715417428397,0
13.537092693771228,-6.3616438409478775,5,1,-2,0,-7,3.909474006601858,0.1503567498894019,1
23.32485368608286,1.5342465692910245,0,1,0,0,-17,-4.803904473426391,-0.2614487178334846,1
10.293748636297323,-0.2383561709538604,-2,3,3,-2,-35,1.556688264938805,-0.09520518358531317,1
48.368625234732235,-2.7041095962488875,0,3,2,-2,-6,-1.9294389820705606,0.15037593984962405,1
4.549001219383854,-8.408219186297917,-1,3,2,-1,-29,1.2215050041154862,0.11656143759106363,1
-14.937321903922339,2.1041095829424137,0,1,1,-2,-8,0.3667992574913823,0.047414478918058875,0
1.3176525848255096,2.227397255034113,-1,1,-2,0,7,-0.7707244529424262,-0.06097301890800935,1
-3.33072699830268,6.720547939878482,2,-1,-1,0,1,0.5729340533464251,0.08941253477335953,0
8.946892414930062,-1.7671232931700303,-5,0,2,-1,-7,-2.6895000221425085,0.04951950755059563,1
-76.42318617787032,8.104109582484778,3,0,2,0,-19,-2.149911485993959,0.05623242736644799,0
-47.13300324783404,2.4931506793665967,-5,-1,1,1,7,3.9353493222106364,-0.18769551616266944,0
-0.6989438614511982,1.0958904056996133,-1,0,0,0,-1,-1.3087394745857452,0.0037143217756621764,0
-61.545781885009546,-2.145205485789102,-2,1,3,-1,-9,3.244219507777755,0.1296460266033445,0
26.12063014142882,-0.3479452125877103,0,1,1,-1,-10,-0.912207986267072,-0.04780731207279165,1
-20.06114991584832,4.117808212118753,-10,1,-1,0,0,-4.516632271153242,-0.16390919584455566,0
-27.79250347223001,-8.375342473106898,0,4,1,0,-18,0.37108066971080667,0.15251141552511416,0
-34.46720958455785,5.342465747570486,-1,-1,-1,-1,13,-0.4373611838298106,-3.857918377470071e-05,0
29.052519746839835,-7.723287679411023,3,2,1,0,-9,2.569490959122595,0.08958136001651677,1
-5.149085523807798,-4.775342472502349,-1,1,4,-1,-8,-2.218885339013135,-0.022222222222222223,0
21.516073814273113,-3.2575342514749472,-3,1,1,0,4,-1.6057456696239965,-0.06320236586396281,1
109.27177671437721,-11.81643836191235,-1,2,1,-1,-4,-1.6909090909090914,0.05656565656565656,1
11.008026538797367,-3.7315068561547164,0,0,0,-2,4,0.6722947451584069,0.026246719160104987,1
-12.51828257023044,2.3123287610229575,-2,-1,1,0,6,3.4798383132767006,-0.18597442851607904,0
24.68199874933339,-4.101369871089041,1,2,1,-3,-23,0.6458616010854814,-0.08264462809917356,1
-38.84945878363101,2.5698630066092107,-4,-1,-2,0,14,-2.3710129601849355,0.0,0
7.720489291571084,1.1808219115063991,-6,-1,0,0,23,4.243030899316992,-0.055325034578146616,0
-31.89503607323968,-8.315068500898434,-3,-1,-3,1,-35,1.8052287581699353,-0.03529411764705882,1
11.876421410569947,1.6328767070235308,-3,0,-1,-1,2,0.47217134000281646,0.0,1
18.224655889647693,5.473972595088213,-1,0,-2,0,-35,-3.8716302445759023,0.28511087645195354,0
-49.288490037720294,-4.142465760227303,-8,1,0,1,4,-1.3385594332196273,-0.3276699029126213,0
