Andy Anderson,1500,1484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Medina,1500,1516.0,1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larry Cureton,1500,1484.0,1468.736306793522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oleg Taktarov,1500,1516.0,1500.8774837215406,1517.6119388472696,1532.835397856517,1548.7969264376345,1562.5690443443282,1578.571315763036,1562.497822126621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ernie Verdicia,1500,1484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Sutton,1500,1516.0,1531.263693206478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack McGlaughlin,1500,1484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
He-Man Gipson,1500,1483.263693206478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Abbott,1500,1516.0,1532.0,1516.0384714188824,1532.7714554897268,1518.1295629242775,1533.999146007005,1516.4719986427274,1531.7478383351634,1547.7255426424715,1533.9942368135287,1517.9393184246696,1502.0476820195809,1517.9533838695472,1533.1273350962556,1515.6063713084145,1499.561257188253,1482.483209555317,1467.3230232334051,,,,,,,,,,,,,,,,,,,,,
John Matua,1500,1484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Varelans,1500,1516.0,1500.0,1516.0,1531.9984384729037,1515.998510383884,1501.4586575056392,1517.3914842397426,1499.391580143011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal Worsham,1500,1484.0,1500.736306793522,1485.4604671010861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rudyard Moncayo,1500,1485.4680244655758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geza Kalman,1500,1484.736306793522,1501.4387739660467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onassis Parungao,1500,1516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francesco Maturi,1500,1484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Bessac,1500,1516.0,1499.270511381076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Hood,1500,1484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerry Harris,1500,1484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Hall,1500,1515.9660918698307,1499.967653396927,1515.9691430130435,1531.2342542326983,1516.6383974132912,1530.4780482921817,1516.912644278956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Parker,1500,1484.736306793522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Ruas,1500,1515.263693206478,1532.0,1547.9999280890197,1562.6183675752043,1546.6160961564965,1528.6546543450775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Jenkins,1500,1483.9985103838835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Adkins,1500,1516.0,1500.0,1515.2975328274754,1499.4279497447478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keith Mielke,1500,1484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don Frye,1500,1516.0,1532.0,1548.0,1561.8034754597227,1576.3993322791298,1589.645525869754,1571.0134964314984,1583.7584048192646,1597.3238088324904,1611.0551146614332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Ramirez,1500,1484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Moreira,1500,1484.0671732658966,1500.8003931399617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerry Bohlander,1500,1516.0,1500.0,1516.0,1531.263693206478,1546.5612260339533,1561.090321396227,1542.3653928220472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Ferrozzo,1500,1484.0,1500.736306793522,1518.2634541577997,1533.4231648407033,1516.6214703722717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Goodridge,1500,1516.0,1532.0,1516.0,1499.263693206478,1515.2976013366472,1499.3299479464104,1486.5850395586442,1503.904222376706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Herrera,1500,1484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Nelmark,1500,1516.0,1531.263693206478,1515.2859888991698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tai Bowden,1500,1484.0,1500.736306793522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zane Frazier,1500,1483.263693206478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Carino,1500,1516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Andersen,1500,1484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Schultz,1500,1516.736306793522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koji Kitao,1500,1484.7348887803453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaury Bitetti,1500,1486.1965245402773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dieusel Berto,1500,1483.2975328274754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Johnston,1500,1516.0,1502.7538064093758,1518.6269915932464,1504.7176366817848,1490.674903423111,1475.1042369018646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Fiedler,1500,1484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Coleman,1500,1516.0,1531.9676533902368,1550.5996828284924,1564.285817501042,1578.1951724125036,1595.547150633965,1575.2547106643262,1555.8423022444158,1538.0846611899208,1519.7042534051252,1535.601827941639,1522.1989749120598,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moti Horenstein,1500,1484.0,1468.736306793522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Campetella,1500,1483.9660918698307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Fulton,1500,1483.263693206478,1468.0338330211207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roberto Traven,1500,1516.0,1499.263693206478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dave Berry,1500,1484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julian Sanchez,1500,1486.3138653274505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reza Nasri,1500,1484.1268148161294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabio Gurgel,1500,1484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Nilson,1500,1483.263693206478,1500.0338330211207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Sanzo,1500,1516.0,1500.7024671725246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackie Lee,1500,1484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Martin,1500,1516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Martin,1500,1484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rainy Martinez,1500,1484.736306793522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yoshiki Takahashi,1500,1516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallid Ismail,1500,1484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Mullen,1500,1484.8402893170964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitor Belfort,1500,1516.0,1532.8016944684316,1548.8566128572907,1532.0809456720933,1547.3812639774858,1561.2127030800254,1545.808059644857,1559.7106598048367,1577.8708655528155,1562.3715622049685,1547.5978891975751,1566.640061876155,1555.381011322299,1568.4293783201542,1584.195920067915,1571.4527729916824,1589.1169024381038,1601.100613088444,1614.5987417946542,1599.7904277221128,1612.7387040358863,1594.7430843769773,1577.2008347816954,1591.0876568729996,1574.8459030821452,,,,,,,,,,,,,,
Tra Telligman,1500,1484.0,1500.736306793522,1486.3218178594984,1472.1012568007195,1458.2033490800688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tito Ortiz,1500,1516.0,1501.3370000723053,1520.061928646485,1537.882334618933,1522.9456935026722,1538.0192263897131,1553.0065589949625,1568.7097744879593,1582.374326701362,1595.3563979193564,1609.8010659209106,1592.889997536965,1576.5212836191376,1589.0532439848791,1603.8269169922726,1617.12855781734,1629.8111078972627,1641.3943616690772,1626.4810385319558,1607.5001496041293,1588.73566395328,1572.0221944985797,1587.4531649550022,1573.6283842748755,1554.544373315498,1539.0212819049557,,,,,,,,,,,,,
Wes Albritton,1500,1484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saeed Hosseini,1500,1483.2298601853572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enson Inoue,1500,1516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royce Alger,1500,1484.0,1468.736306793522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steven Graham,1500,1516.0,1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dmitri Stepanov,1500,1484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Randy Couture,1500,1516.0,1532.0,1548.7756671851973,1564.1960567396,1578.9288971935437,1594.9057458009027,1609.415405013666,1589.9669098161385,1572.6359150635199,1589.9960437517157,1606.9071121356612,1588.7469063876824,1604.2462097355294,1588.6361653827444,1602.0178215342207,1587.7329802350207,1604.0176820543875,1618.0002981237149,1596.9022962574927,1577.463672900167,1592.501455115306,1605.9043081448851,1617.1728728061596,1599.711903724366,,,,,,,,,,,,,,,
Tony Halme,1500,1484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Fryklund,1500,1516.0,1500.0,1516.0,1499.3314871111966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donnie Chappell,1500,1484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Hunter,1500,1515.2298601853572,1530.528948084379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuri Vaulin,1500,1483.266780125935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Jackson,1500,1516.0,1532.0,1514.5304984710244,1500.0014031087508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Butler,1500,1484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Kerr,1500,1515.263693206478,1531.27782984637,1545.8413111971752,1560.470437410337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Bobish,1500,1515.5706665212463,1499.5565298813542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
