Shamil Abdurakhimov,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4
Daichi Abe,http://ufcstats.com/fighter-details/5140122c3eecd307
Klidson Abreu,http://ufcstats.com/fighter-details/7279654c7674cd24
Juan Adams,http://ufcstats.com/fighter-details/83b00f7597e5ac83
Anthony Adams,http://ufcstats.com/fighter-details/a77633a989013265
Zarrukh Adashev,http://ufcstats.com/fighter-details/79cb2a690b9ba5e8
Israel Adesanya,http://ufcstats.com/fighter-details/1338e2c7480bdf9e
Mariya Agapova,http://ufcstats.com/fighter-details/a08ddd04eaffd81d
Jessica Aguilar,http://ufcstats.com/fighter-details/8f382b3baa954d2a
Kevin Aguilar,http://ufcstats.com/fighter-details/cf946e03ba2e7666
Christian Aguilera,http://ufcstats.com/fighter-details/ae071698e1a3ccd4
Omari Akhmedov,http://ufcstats.com/fighter-details/16690d100f995f8f
Yoshihiro Akiyama,http://ufcstats.com/fighter-details/b0550072e5f0afa7
Rostem Akman,http://ufcstats.com/fighter-details/1fc64507a0cb38cf
Mostapha Al-Turk,http://ufcstats.com/fighter-details/1cf1310684a841f5
Herdem Alacabek,http://ufcstats.com/fighter-details/7578cc6bd750206b
Alatengheili,http://ufcstats.com/fighter-details/1897b7b913736a7c
Amir Albazi,http://ufcstats.com/fighter-details/6d35bf94f7d30241
John Albert,http://ufcstats.com/fighter-details/7bd94b60d7521e4a
Junior Albini,http://ufcstats.com/fighter-details/c482c8605455a213
Aleksandra Albu,http://ufcstats.com/fighter-details/e76d9f656ceb82ab
Iuri Alcantara,http://ufcstats.com/fighter-details/2f95a3c6d58b2aad
Ildemar Alcantara,http://ufcstats.com/fighter-details/7c6e87729e824ef4
Irene Aldana,http://ufcstats.com/fighter-details/578ef12674df1e6a
Hector Aldana,http://ufcstats.com/fighter-details/c487223b0289bda9
Jose Alday,http://ufcstats.com/fighter-details/7460ddef986d3144
Jose Aldo,http://ufcstats.com/fighter-details/d0f3959b4a9747e6
JJ Aldrich,http://ufcstats.com/fighter-details/6fd953151d981979
Jim Alers,http://ufcstats.com/fighter-details/fe5a9547479396ab
Houston Alexander,http://ufcstats.com/fighter-details/0541480fbf719d86
